Dimension	P-B (Min, Min)	I-B (Min, Min)	P-B (Min, Max)	I-B (Min, Max)	P-B (Max, Min)	I-B (Max, Min)	P-B (Max, Max)	I-B (Max, Max)
10000	2605	487	46977	2152	5494	5350	48491	48491
20000	321	37	31486	2386	379	308	32175	32175
30000	685	90	65919	4313	1254	679	66819	66819
40000	1464	174	107597	6806	1284	1254	109801	109801
50000	1371	92	158806	9037	1702	1702	160280	160280
60000	2266	289	217274	12529	2233	2196	217087	217087
70000	3788	245	276828	14918	3265	3063	280822	280822
80000	2125	483	344524	17425	5799	4072	346431	346431
90000	3140	238	418863	22358	4929	4183	419824	419824
100000	4276	890	487111	26679	6752	5460	494901	494901
